id,name,album_name,artist_ids,danceability,energy,speechiness,acousticness,valence,tempo,duration_ms
2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,Her Loss,"3TVXtAsR1Inumwj472S9r4,1URnnhqYAYcrqrcwql10ft",0.773,0.701,0.0512,0.01,0.203,129.963,214589
0QHEIqNKsMoOY5urbzN48u,Made You Look,Takin' It Back,6JL8zeS1NmiOftqZTRgdTz,0.838,0.525,0.0665,0.345,0.884,144.981,134256
2bNtWTLdqUGhLZqWUGPNvK,Je la connais,Anarchie,2kXKa3aAFngGz2P4GjG5w2,0.844,0.683,0.043,0.48,0.327,132.018,219533
7dISpxgINJOQSuXUTEfB9x,Secret,Sentiments,7wjeXCtRND2ZdKfMJFu6JC,0.643,0.276,0.0596,0.901,0.213,149.503,191173
04ndZkbKGthTgYSv3xS7en,Cupido,Cupido,7vXDAI8JwjW531ouMGbfcp,0.913,0.584,0.223,0.521,0.627,119.873,174370
5q86iSKkBtOoNkdgEDY5WV,VISTA AL MAR,DONDE QUIERO ESTAR,52iwsT98xCoGgiGntTiR7K,0.759,0.561,0.131,0.803,0.491,104.915,180673
1ZkIxbmM3ZUhn2OayBdwe5,Tuenti - Remix,Tuenti (Remix),"2PAyYzUdafG4mFFp6Rynsk,2O8vbr4RYPpk6MRA4fio7u",0.75,0.625,0.047,0.215,0.679,91.954,184277
4atLPkcljMp14JBaigYFKC,We Are The People - southstar Remix,We Are The People (southstar Remix),"67hb7towEyKvt5Z8Bx306c,1GVuCyb4PlArufUZDUnRQi",0.72,0.847,0.0384,0.00174,0.132,149.954,236157
1lRtH4FszTrwwlK5gTSbXO,AMG,AMG,"0elWFr7TW8piilVRYJUe4P,12GqGscKJx3aE4t07u7eVZ,6Sbl0NT50roqWvy746MfVf",0.772,0.73,0.0972,0.152,0.786,136.175,174943
7fZBQnc0zXwVybgCIrQQil,Belly Dancer,Belly Dancer,"5rGrDvrLOV2VV8SCFVGWlj,0Upxnyh9nIUNSOmNE8WF4R",0.845,0.797,0.139,0.0582,0.422,121.985,151475
5TXDeTFVRVY7Cvt0Dw4vWW,Revenge,17,15UsOTVnJzReFVN1VCnxy4,0.746,0.251,0.259,0.782,0.18,139.999,120027
6maTPqynTmrkWIralgGaoP,If We Ever Broke Up,If We Ever Broke Up,311uEW9rt5g2NmzjGEKS2E,0.898,0.732,0.0427,0.621,0.96,115.955,142759
4AFsRbaLKRWo3dDtjDFA2V,Me and Your Mama,"""Awaken, My Love!""",73sIBHcqh3Z3NyqHKZ7FOL,0.545,0.442,0.0352,0.0104,0.242,118.073,379227
0FA4wrjDJvJTTU8AepZTup,Watch This - ARIZONATEARS Pluggnb Remix,Watch This (ARIZONATEARS Pluggnb Remix),"4O15NlyKLIASxsJ0PrXPfz,0M2CO5ijP35MDhNwvpgxTV,2xzyIzdjfeXX6FIQtlAAyw",0.686,0.897,0.0386,0.0103,0.355,129.975,163139
4PMqSO5qyjpvzhlLI5GnID,Good Days,SOS,7tYKF4w9nC0nq9CsPZTHyP,0.461,0.651,0.0568,0.418,0.383,121.07,278480
1dw7qShk971xMD6r6mA4VN,PERO TÚ,MAÑANA SERÁ BONITO,"790FomKkXshlbRYZFtlgla,52iwsT98xCoGgiGntTiR7K",0.861,0.79,0.291,0.394,0.681,139.845,183480
5ZNa6S7agmCmaEnxIHE73m,Get Shaky,Get Shaky,"6AFA7y2tNohNcpaLwDRyxx,2nxyC1TQywKkvfkvuaiaW6",0.711,0.468,0.15,0.0129,0.556,169.974,237195
1qMMYpVatbRITKCfq1gasi,PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,1RyvyyTE3xzB2ZywiAwp0i,0.883,0.657,0.305,0.0603,0.284,124.992,172933
6ebo7CQn4ILLGvXRmXHhQz,Miénteme,Cupido,"7vXDAI8JwjW531ouMGbfcp,1DxLCyH42yaHKGK3cl5bvG",0.85,,0.0654,0.161,0.906,92.002,165275
